Employee ID,Assessment,Score,Product,Pass/Fail,Sum,Employee,Queue,Scheduled,Avg Score,Gender,Coach, ActiveStartDate,Department,Date of Termination,QNH Score,Outcome,Length of Service
1,Core Certification Assessment,87,RM12,True,1,,,,,F,Sabrina Clore,2009-10-12,Product Support,,74.7,Not Met QNH,14.08
2,Core Certification Assessment,59,RM12,False,0,,,,,F,LCS,2012-01-23,PDC,,82.6,Met QNH,11.83
3,Core Certification Assessment,100,RM12,True,1,Peter Parks,Technical,,97.33333333333333,,,,,,,,
4,Core Certification Assessment,84,RM12,True,1,Brandi Hill,Technical,,98.0,,,,,,,,
5,Core Certification Assessment,91,RM12,True,1,Dr. Deborah Wilson,Technical,,98.0,,,,,,,,
6,Core Certification Assessment,94,RM12,True,1,Robert Collins,Technical,,94.0,,,,,,,,
7,Core Certification Assessment,99,RM12,True,1,Kevin Conrad,Technical,Yes,91.5,,,,,,,,
8,Core Certification Assessment,93,RM12,True,1,Jesse Marshall,Technical,,98.0,,,,,,,,
9,Core Certification Assessment,77,RM12,False,0,Jennifer Koch,Technical,Yes,98.0,,,,,,,,
10,Core Certification Assessment,97,RM12,True,1,Dr. Katherine Schneider,Technical,,96.5,,,,,,,,
11,Core Certification Assessment,95,RM12,True,1,Briana Lopez,Technical,,99.0,,,,,,,,
12,Core Certification Assessment,90,RM12,True,1,Brooke Cook,Technical,Yes,,,,,,,,,
13,Core Certification Assessment,100,RM12,True,1,John Nelson,Technical,Yes,,,,,,,,,
14,Core Certification Assessment,66,RM12,False,0,,,,,,,,,,,,
15,Core Certification Assessment,57,RM12,False,0,,,,,,,,,,,,
16,Core Certification Assessment,89,RM12,True,1,,,,,,,,,,,,
17,Core Certification Assessment,62,RM12,False,0,,,,,,,,,,,,
18,Core Certification Assessment,98,RM12,True,1,Sarah Howard,Scripting,Yes,98.4,,,,,,,,
19,Core Certification Assessment,89,RM12,True,1,Jacqueline Austin,Scripting,,90.66666666666667,,,,,,,,
20,Core Certification Assessment,79,RM12,False,0,Jennifer Cohen,Scripting,,96.0,,,,,,,,
21,Core Certification Assessment,76,RMX,False,0,Steven Walls,Scripting,,98.0,,,,,,,,
22,Core Certification Assessment,26,RM12,False,0,Ashley Garrett,Scripting,,95.0,,,,,,,,
23,Core Certification Assessment,63,RM12,False,0,Peggy Scott,Scripting,Yes,,,,,,,,,
24,Core Certification Assessment,100,RM12,True,1,Mrs. Robin Lee,Scripting,Yes,,,,,,,,,
25,Core Certification Assessment,88,RM12,True,1,,,,,,,,,,,,
26,Core Certification Assessment,99,RM12,True,1,,,,,,,,,,,,
27,Core Certification Assessment,89,RM12,True,1,Bethany Johnson,General,,90.6,,,,,,,,
28,Core Certification Assessment,92,RM12,True,1,Antonio Moore,General,,95.8,,,,,,,,
29,Core Certification Assessment,44,RM12,False,0,Benjamin Davis,General,Yes,96.66666666666667,,,,,,,,
30,Core Certification Assessment,100,RM12,True,1,Michelle Day,General,,100.0,,,,,,,,
31,Core Certification Assessment,94,RM12,True,1,Barbara Conner,General,,100.0,,,,,,,,
32,Core Certification Assessment,95,RM12,True,1,Ashley Dickerson,General,,97.33333333333333,,,,,,,,
33,Core Certification Assessment,97,RM12,True,1,Matthew Becker,General,,98.66666666666667,,,,,,,,
34,Core Certification Assessment,93,RM12,True,1,Carrie Moore,General,Yes,93.0,,,,,,,,
35,Core Certification Assessment,94,RM12,True,1,Joshua Garner,General,Yes,99.0,,,,,,,,
36,Core Certification Assessment,88,RM12,True,1,Ronald Mcgee,General,Yes,95.0,,,,,,,,
37,Core Certification Assessment,93,RM12,True,1,William Phillips,General,Yes,90.5,,,,,,,,
38,Core Certification Assessment,85,RM12,True,1,,,,,,,,,,,,
39,Core Certification Assessment,72,RM12,False,0,Melissa Smith,General,Yes,,,,,,,,,
40,Core Certification Assessment,69,RM12,False,0,,,,,,,,,,,,
41,Core Certification Assessment,94,RM12,True,1,,,,,,,,,,,,
42,Core Certification Assessment,84,RM12,True,1,,,,,,,,,,,,
43,Core Certification Assessment,66,RM12,False,0,Jacob Miller,Finance,,80.0,,,,,,,,
44,Core Certification Assessment,100,RM12,True,1,Thomas Lewis,Finance,,96.66666666666667,,,,,,,,
45,Core Certification Assessment,91,RM12,True,1,Victoria Carey,Finance,,97.5,,,,,,,,
46,Core Certification Assessment,96,RM12,True,1,Tracy Walker,Finance,,100.0,,,,,,,,
47,Core Certification Assessment,90,RM12,True,1,William Ortiz,Finance,,98.0,,,,,,,,
48,Core Certification Assessment,73,RM12,False,0,Amy Velazquez,Finance,,97.33333333333333,,,,,,,,
49,Core Certification Assessment,71,RM12,False,0,Heather Roberson,Finance,,97.33333333333333,,,,,,,,
50,Core Certification Assessment,99,RM12,True,1,Kathleen Hanson,Finance,,95.0,F,Morgan Walker,2019-11-11,Customer Success,,87.0,Met QNH,4.0
51,Core Certification Assessment,92,RM12,True,1,Katie Anderson,Finance,,96.0,,,,,,,,
52,Core Certification Assessment,94,RM12,True,1,Sarah Conner,Finance,,97.0,,,,,,,,
53,Core Certification Assessment,70,RM12,False,0,Bryan Ortega,Finance,Yes,,,,,,,,,
54,Core Certification Assessment,85,RM12,True,1,Ann Zimmerman,Finance,Yes,,M,Don Paquette,2019-01-07,Implementation,,97.0,Met QNH,4.83
55,Core Certification Assessment,100,RM12,True,1,Pamela Jacobs,Finance,Yes,,,,,,,,,
56,Core Certification Assessment,84,RM12,True,1,Joe Rodriguez,Finance,Yes,,,,,,,,,
57,Core Certification Assessment,81,RM12,True,1,,,,,,,,,,,,
58,Core Certification Assessment,95,RM12,True,1,Gloria Moreno,Finance,Yes,,,,,,,,,
59,Core Certification Assessment,99,RM12,True,1,,,,,,,,,,,,
60,Core Certification Assessment,86,RM12,True,1,,,,,,,,,,,,
61,Core Certification Assessment,87,RM12,True,1,,,,,M,LCS,2020-02-03,PDC,,98.0,Met QNH,3.75
62,Core Certification Assessment,94,RM12,True,1,,,,,,,,,,,,
63,Core Certification Assessment,86,RM12,True,1,,,,,,,,,,,,
64,Core Certification Assessment,76,RM12,False,0,,,,,,,,,,,,
65,Core Certification Assessment,94,RM12,True,1,,,,,,,,,,,,
66,Core Certification Assessment,75,RM12,False,0,,,,,,,,,,,,
67,Core Certification Assessment,92,RM12,True,1,Kevin Jones,Mobile,,94.0,,,,,,,,
68,Core Certification Assessment,97,RM12,True,1,Jay Bond,Integrations,,98.0,,,,,,,,
69,Core Certification Assessment,75,RM12,False,0,Matthew Stanley,Integrations,,97.33333333333333,,,,,,,,
70,Core Certification Assessment,72,RM12,False,0,John Peters,Integrations,,95.33333333333333,,,,,,,,
71,Core Certification Assessment,94,RM12,True,1,Kevin Nguyen,Integrations,,99.33333333333333,,,,,,,,
72,Core Certification Assessment,68,RM12,False,0,Ronald Hammond,Mobile,Yes,96.5,,,,,,,,
73,Core Certification Assessment,87,RM12,True,1,John Peterson,Integrations,Yes,96.0,,,,,,,,
74,Core Certification Assessment,92,RM12,True,1,Drew Williams,Mobile,Yes,,,,,,,,,
75,Core Certification Assessment,52,RM12,False,0,Scott Holloway,Mobile,Yes,,,,,,,,,
76,Core Certification Assessment,89,RM12,True,1,Betty Anderson,Mobile,Yes,99.0,,,,,,,,
77,Core Certification Assessment,91,RM12,True,1,,,,,,,,,,,,
78,Core Certification Assessment,97,RM12,True,1,,,,,,,,,,,,
79,Core Certification Assessment,80,RM12,True,1,,,,,,,,,,,,
80,Core Certification Assessment,100,RM12,True,1,John Escobar,Integrations,Yes,,,,,,,,,
81,Core Certification Assessment,100,RM12,True,1,,,,,,,,,,,,
82,Core Certification Assessment,90,RM12,True,1,Mark Williams,Email,,100.0,,,,,,,,
83,Core Certification Assessment,84,RM12,True,1,Antonio Hancock,Email,Yes,100.0,,,,,,,,
84,Core Certification Assessment,81,RM12,True,1,Andrew Martin,Email,Yes,100.0,,,,,,,,
85,Core Certification Assessment,84,RM12,True,1,,,,,,,,,,,,
86,Core Certification Assessment,74,RM12,False,0,,,,,,,,,,,,
87,Core Certification Assessment,82,RM12,True,1,,,,,,,,,,,,
88,Core Certification Assessment,96,RM12,True,1,,,,,,,,,,,,
89,Core Certification Assessment,57,RM12,False,0,,,,,,,,,,,,
90,Core Certification Assessment,73,RM12,False,0,,,,,,,,,,,,
91,Core Certification Assessment,87,RM12,True,1,Kellie White,Implementation,,99.5,,,,,,,,
92,Core Certification Assessment,97,RM12,True,1,Ashley Jackson,Implementation,,100.0,,,,,,,,
93,Core Certification Assessment,96,RM12,True,1,Marc Salinas MD,Implementation,,98.33333333333333,,,,,,,,
94,Core Certification Assessment,100,RM12,True,1,Shannon Prince,Implementation,,98.66666666666667,,,,,,,,
95,Core Certification Assessment,84,RM12,True,1,Maria Wilson,Implementation,Yes,98.0,,,,,,,,
96,Core Certification Assessment,86,RM12,True,1,Andrea Murray,Implementation,Yes,,,,,,,,,
97,Core Certification Assessment,94,RM12,True,1,Robin Rosales,Implementation,Yes,,,,,,,,,
98,Core Certification Assessment,90,RM12,True,1,Benjamin Smith,Implementation,Yes,98.0,,,,,,,,
99,Core Certification Assessment,50,RM12,False,0,,,,,,,,,,,,
100,Core Certification Assessment,88,RM12,True,1,,,,,,,,,,,,
101,Core Certification Assessment,88,RM12,True,1,,,,,,,,,,,,
102,Core Certification Assessment,93,RM12,True,1,,,,,,,,,,,,
103,Core Certification Assessment,92,RM12,True,1,,,,,,,,,,,,
104,Core Certification Assessment,84,RM12,True,1,,,,,,,,,,,,
105,Core Certification Assessment,92,RM12,True,1,,,,,,,,,,,,
106,Core Certification Assessment,83,RM12,True,1,,,,,,,,,,,,
107,Core Certification Assessment,90,RM12,True,1,,,,,,,,,,,,
108,Core Certification Assessment,93,RM12,True,1,,,,,,,,,,,,
109,Core Certification Assessment,83,RM12,True,1,,,,,,,,,,,,
110,Core Certification Assessment,76,RM12,False,0,,,,,,,,,,,,
111,Core Certification Assessment,82,RM12,True,1,,,,,,,,,,,,
112,Core Certification Assessment,80,RM12,True,1,,,,,,,,,,,,
113,Core Certification Assessment,67,RM12,False,0,,,,,,,,,,,,
114,Core Certification Assessment,94,RM12,True,1,,,,,,,,,,,,
115,Core Certification Assessment,100,RM12,True,1,,,,,,,,,,,,
116,Core Certification Assessment,82,RM12,True,1,,,,,F,Morgan Walker,2019-09-30,Training,,99.0,Met QNH,4.17
117,Core Certification Assessment,65,RM12,False,0,,,,,,,,,,,,
118,Core Certification Assessment,95,RM12,True,1,,,,,,,,,,,,
119,Core Certification Assessment,86,RM12,True,1,,,,,,,,,,,,
120,Core Certification Assessment,91,RM12,True,1,,,,,,,,,,,,
121,Core Certification Assessment,86,RM12,True,1,,,,,,,,,,,,
122,Core Certification Assessment,83,RM12,True,1,,,,,,,,,,,,
123,Core Certification Assessment,98,RM12,True,1,,,,,,,,,,,,
124,Core Certification Assessment,98,RM12,True,1,,,,,,,,,,,,
125,Core Certification Assessment,78,RM12,False,0,,,,,,,,,,,,
126,Core Certification Assessment,81,RM12,True,1,,,,,,,,,,,,
127,Core Certification Assessment,91,RM12,True,1,,,,,,,,,,,,
128,Core Certification Assessment,97,RM12,True,1,,,,,,,,,,,,
129,Core Certification Assessment,91,RM12,True,1,,,,,,,,,,,,
130,Core Certification Assessment,75,RM12,False,0,,,,,,,,,,,,
131,Core Certification Assessment,63,RM12,False,0,,,,,,,,,,,,
132,Core Certification Assessment,100,RM12,True,1,,,,,,,,,,,,
133,Core Certification Assessment,62,RM12,False,0,,,,,,,,,,,,
134,Core Certification Assessment,62,RM12,False,0,,,,,,,,,,,,
135,Core Certification Assessment,100,RM12,True,1,,,,,,,,,,,,
136,Core Certification Assessment,88,RM12,True,1,,,,,,,,,,,,
137,Core Certification Assessment,93,RM12,True,1,,,,,,,,,,,,
138,Core Certification Assessment,98,RM12,True,1,,,,,,,,,,,,
139,Core Certification Assessment,97,RM12,True,1,,,,,,,,,,,,
140,Core Certification Assessment,100,RM12,True,1,,,,,,,,,,,,
141,Core Certification Assessment,91,RM12,True,1,,,,,,,,,,,,
142,Core Certification Assessment,90,RM12,True,1,,,,,F,Don Paquette,2019-10-21,Marketing,2022-09-09,0.0,Not Met QNH,2.92
143,Core Certification Assessment,70,RM12,False,0,,,,,,,,,,,,
144,Core Certification Assessment,53,RM12,False,0,,,,,,,,,,,,
145,Core Certification Assessment,90,RM12,True,1,,,,,,,,,,,,
146,Core Certification Assessment,82,RM12,True,1,,,,,,,,,,,,
147,Core Certification Assessment,91,RM12,True,1,,,,,,,,,,,,
148,Core Certification Assessment,77,RM12,False,0,,,,,,,,,,,,
149,Core Certification Assessment,84,RM12,True,1,,,,,,,,,,,,
150,Core Certification Assessment,88,RM12,True,1,,,,,,,,,,,,
151,Core Certification Assessment,90,RM12,True,1,,,,,,,,,,,,
152,Core Certification Assessment,94,RM12,True,1,,,,,,,,,,,,
153,Core Certification Assessment,68,RM12,False,0,,,,,,,,,,,,
154,Core Certification Assessment,96,RM12,True,1,,,,,,,,,,,,
155,Core Certification Assessment,91,RM12,True,1,,,,,,,,,,,,
156,Core Certification Assessment,94,RM12,True,1,,,,,,,,,,,,
157,Core Certification Assessment,100,RM12,True,1,,,,,,,,,,,,
158,Core Certification Assessment,86,RM12,True,1,,,,,,,,,,,,
159,Core Certification Assessment,94,RM12,True,1,,,,,,,,,,,,
160,Core Certification Assessment,97,RM12,True,1,,,,,,,,,,,,
161,Core Certification Assessment,96,RM12,True,1,,,,,,,,,,,,
162,Core Certification Assessment,97,RM12,True,1,,,,,,,,,,,,
163,Core Certification Assessment,95,RM12,True,1,,,,,,,,,,,,
164,Core Certification Assessment,99,RM12,True,1,,,,,,,,,,,,
165,Core Certification Assessment,99,RM12,True,1,,,,,,,,,,,,
166,Core Certification Assessment,92,RM12,True,1,,,,,,,,,,,,
167,Core Certification Assessment,98,RM12,True,1,,,,,,,,,,,,
168,Core Certification Assessment,94,RM12,True,1,,,,,,,,,,,,
169,Core Certification Assessment,91,RM12,True,1,,,,,,,,,,,,
170,Core Certification Assessment,94,RM12,True,1,,,,,,,,,,,,
171,Core Certification Assessment,87,RM12,True,1,,,,,,,,,,,,
172,Core Certification Assessment,70,RM12,False,0,,,,,,,,,,,,
173,Core Certification Assessment,74,RM12,False,0,,,,,,,,,,,,
174,Core Certification Assessment,83,RM12,True,1,,,,,,,,,,,,
175,Core Certification Assessment,99,RM12,True,1,,,,,,,,,,,,
1,Bookkeeping Certification,97,RM12,True,1,,,,,F,Sabrina Clore,2009-10-12,Product Support,,74.7,Not Met QNH,14.08
2,Bookkeeping Certification,95,RM12,True,1,,,,,F,LCS,2012-01-23,PDC,,82.6,Met QNH,11.83
3,Bookkeeping Certification,97,RM12,True,1,Peter Parks,Technical,,97.33333333333333,,,,,,,,
4,Bookkeeping Certification,88,RM12,True,1,Brandi Hill,Technical,,98.0,,,,,,,,
5,Bookkeeping Certification,100,RMX,True,1,Dr. Deborah Wilson,Technical,,98.0,,,,,,,,
6,Bookkeeping Certification,66,RM12,False,0,Robert Collins,Technical,,94.0,,,,,,,,
7,Bookkeeping Certification,87,RM12,True,1,Kevin Conrad,Technical,Yes,91.5,,,,,,,,
8,Bookkeeping Certification,63,RM12,False,0,Jesse Marshall,Technical,,98.0,,,,,,,,
9,Bookkeeping Certification,97,RM12,True,1,Jennifer Koch,Technical,Yes,98.0,,,,,,,,
10,Bookkeeping Certification,100,RM12,True,1,Dr. Katherine Schneider,Technical,,96.5,,,,,,,,
11,Bookkeeping Certification,40,RM12,False,0,Briana Lopez,Technical,,99.0,,,,,,,,
12,Bookkeeping Certification,64,RM12,False,0,Brooke Cook,Technical,Yes,,,,,,,,,
